Godina;Saziv;Od;Do;Stranka;Osoba;Prezime i ime;Ukupno;Dnevnica;Auto;Cestarina;Avion;Javni;Hotel;Stanarina;Režije;Odv.život;Služ.stan;Ostalo
2021;X;01.01.2021;21.12.2021;HDZ;1;AČKAR KREŠIMIR;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;SDP;2;AHMETOVIĆ MIRELA;64.943,99;;21.488,00;4.480,00;;;;29.975,99;;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDP;3;ANTOLIĆ VUPORA BARBARA;55.788,01;;11.616,00;1.148,00;;;;29.802,38;4.221,63;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;4;BAČIĆ ANTE;109.324,37;;48.480,00;10.763,00;5.640,00;;684,35;29.771,61;4.985,41;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;5;BAČIĆ BRANKO;55.150,75;;41.380,00;8.208,00;1.648,75;3.914,00;;;;;;
2021;X;15.06.2021;21.12.2021;Damir Bajs NL;6;BAJS DAMIR;1.760,00;;1.760,00;;;;;;;;;
2021;X;01.01.2021;14.06.2021;SDP;6.a;GRMAN KIZIVAT MARTINA ;14.136,00;;14.136,00;;;;;;;;;
2021;X;01.01.2021;21.12.2021;Možemo!;7;BAKIĆ DAMIR;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;8;BALIĆ MARIJANA;66.351,94;8.671,05;26.602,00;2.946,00;11.068,86;;12.306,01;;;1.883,33;;2.874,69
2021;X;01.01.2021;21.12.2021;SDP;9;BAN VLAHEK BOŠKA;56.629,06;;11.160,00;1.900,00;;;;29.975,99;4.593,07;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;10;BARADIĆ NIKOLINA;68.388,79;;40.416,00;8.505,00;;;;351,62;1.909,72;9.000,00;8.206,45;
2021;X;01.01.2021;21.12.2021;HDZ;11;BARBARIĆ NEVENKO;132.054,04;;72.816,00;16.412,00;;;;29.569,87;4.256,17;9.000,00;;
2021;X;01.01.2021;21.12.2021;Domovinski pokret;12;BARTULICA STEPHEN NIKOLA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;SDP;13;BAUK ARSEN;48.219,03;;8.592,00;1.776,00;1.155,00;1.461,00;692,50;29.975,99;4.566,54;;;
2021;X;01.01.2021;21.12.2021;HDZ;14;BEDEKOVIĆ VESNA;48.996,58;1.425,00;20.318,00;;;;5.877,31;;3.151,87;8.684,40;9.540,00;
2021;X;01.01.2021;21.12.2021;HDZ;15;BEGONJA JOSIP;65.265,90;;38.556,00;5.391,00;;;;;2.778,90;9.000,00;9.540,00;
2021;X;01.01.2021;21.12.2021;HSS;16;BELJAK KREŠO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;Možemo!;17;BENČIĆ SANDRA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;18;BERNARDIĆ DAVOR;35.360,53;5.648,32;2.978,00;96,00;9.587,00;;13.657,45;;;;;3.393,76
2021;X;01.01.2021;21.12.2021;NZ;19;BILEK VLADIMIR;45.729,21;2.251,49;2.226,00;;;;1.040,80;29.569,87;1.298,43;8.870,97;;471,65
